Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques;station_opening_hours
13046;Eugène Oudiné - Dessous Des Berges;44;48.8256423, 2.3750226;
22102;Mont Valérien - Michel Salles;24;48.8561915, 2.2152966;
9118;Faubourg Poissonniere - Delta;36;48.882555807626765, 2.3497482016682625;
17116;Reims - Porte d'Asnières;26;48.891834448210986, 2.300144659954865;
18209;Cloys - Ordener;0;48.89353865165, 2.3364427977844;
31013;Centenaire - Sorins;45;48.85853523359734, 2.4273508787155156;
17016;Brochant - Square des Batignolles;31;48.88818698581028, 2.316861143151153;
1016;Thérèse - Opéra;25;48.866483514509, 2.3344334212238;
8105;François 1er - Lincoln;31;48.869517979344, 2.3024262188416;
22002;Argenson - Château;25;48.888559314669514, 2.2642001509666447;
21017;Place Marcel Sembat;56;48.83328865030686, 2.2441747784614567;
12129;Bois de Vincennes - Porte Jaune;35;48.838751246689455, 2.4605489149689674;
15019;Paul Barruel - Vaugirard;39;48.84014918546239, 2.3044332861900334;
20205;Haxo - Darcy;0;48.870493041975, 2.404957212224;
15131;Charles Lecocq - Lecourbe;48;48.84044, 2.294867;
21028;Pierre Lefaucheux - Traversière;35;48.82435208303827, 2.2417913004755974;
15023;La Motte-Picquet - Grenelle;34;48.84858321339195, 2.299347817897797;
15072;Place Fernand Forest;33;48.849269143836, 2.281863167882;
10105;Mazagran - Bonne Nouvelle;25;48.870047123655, 2.3511248454452;
42501;Raspail - Albert Schweitzer;28;48.81031545, 2.34395871;
18003;Cimetière de Montmartre;43;48.886472466142, 2.3328901827335;
19128;Quai de l'Oise - Aisne;30;48.8906231, 2.3833701;
41205;Maréchal Joffre - Verdun;20;48.85385, 2.470307;
15071;Suffren - Champ de Mars;23;48.8547194, 2.2952168;
20104;Louis Lumière.;22;48.86216198070008, 2.41112578185621;
10034;Louis Blanc - La Chapelle;21;48.884008964514, 2.3599335551262;
22301;Chausson - Gabriel Péri;22;48.921891003481115, 2.2952306270599365;
22401;Charles de Gaulle - Plateau de Vanves;33;48.82233088973263, 2.298571803412886;
48005;Eugène Varlin - Place de la Paix;23;48.792862, 2.363093;
43403;Gare RER - Canadiens;40;48.819659244971, 2.4644082766769;
16010;Belles Feuilles - Place de Mexico;23;48.865804746474, 2.2829206287861;
32022;Henri Barbusse - Marcel Cachin;37;48.93742089281, 2.3720374971659;
1015;Place André Malraux;37;48.863925158727, 2.3356226831675;
2102;Saint-Marc - Feydeau;37;48.870326843044, 2.3418715826353;
45004;République - Louis Loucheur;37;48.823549261189, 2.5101865455508;
10202;Bichat - Grange aux Belles;30;48.873688, 2.365015;
51008;Martyrs de Châteaubriant - Jean Grandel;38;48.951432, 2.211214;
15024;Suffren - La Motte-Piquet;23;48.850881230919, 2.3012199997902;
11028;Guillaume Bertrand - République;38;48.863825174341, 2.380906377155;
16022;Jean Bologne - Passy;19;48.857566889784465, 2.280027395306772;
21510;Fontaine du Tertre - Calvaire;24;48.8702539, 2.2187778;
51007;Résistance - Romain Rolland;28;48.950873482371, 2.2310190077797;
12039;Général Michel Bizot - Claude Decaen;50;48.834812629825, 2.4009277881277;
22703;Place Jean Mermoz;30;48.9220937, 2.2718348;
25010;Maréchal Leclerc de Hauteclocque - Marché Buzenval;30;48.858446, 2.192077;
